Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,Costs,label,predicted label
1.33,0.38,25538.25,192,60,193536,2.52,5,10,5,60,1024.0,0.0,"0.3529995918367348, 0.3534157142857143, 0.3534390612244898, 0.3533306734693878, 0.3529544693877551, 0.3530545306122449, 0.35336781632653064",0,0
1.33,0.38,25538.25,192,60,193536,2.52,5,10,20,33,3024.0,0.0,"0.2812041020408163, 0.2812744897959184, 0.2810683877551021, 0.28127055102040815, 0.5329242857142857, 0.5335327346938775, 0.281287306122449",1,1
1.33,0.38,25538.25,192,60,193536,2.52,5,10,58,20,9072.0,0.0,"0.12049985714285716, 0.12096038775510205, 0.12075420408163262, 0.12097295918367347, 0.9336189183673469, 0.9347213265306125, 0.12103420408163265",2,2
0.24,0.07,1512.0,192,22,193536,1.26,14,10,5,60,1024.0,0.0,"0.017765877551020406, 0.01764816326530612, 0.017638734693877552, 0.017633571428571432, 0.017570448979591837, 0.01756734693877551, 0.01763869387755102",5,5
0.24,0.07,1512.0,192,22,193536,1.26,14,10,20,33,3024.0,0.0,"0.0178865306122449, 0.017786469387755105, 0.017781163265306123, 0.017784795918367347, 0.017220959183673473, 0.017223836734693878, 0.01777908163265306",4,4
0.24,0.07,1512.0,192,22,193536,1.26,14,10,58,20,9072.0,0.0,"0.017992469387755106, 0.017824775510204085, 0.01780026530612245, 0.017828387755102044, 0.017098714285714283, 0.017100632653061228, 0.017817591836734693",5,5
1.39,0.4,27833.27,192,60,193536,2.52,5,10,5,60,1024.0,0.0,"0.3529995918367348, 0.3534157142857143, 0.3534390612244898, 0.3533306734693878, 0.3529544693877551, 0.3530545306122449, 0.35336781632653064",0,0
1.39,0.4,27833.27,192,60,193536,2.52,5,10,20,33,3024.0,0.0,"0.2812041020408163, 0.2812744897959184, 0.2810683877551021, 0.28127055102040815, 0.5329242857142857, 0.5335327346938775, 0.281287306122449",1,1
1.39,0.4,27833.27,192,60,193536,2.52,5,10,58,20,9072.0,0.0,"0.12049985714285716, 0.12096038775510205, 0.12075420408163262, 0.12097295918367347, 0.9336189183673469, 0.9347213265306125, 0.12103420408163265",2,2
0.24,0.07,1512.0,192,22,193536,1.26,14,10,5,60,1024.0,0.0,"0.017765877551020406, 0.01764816326530612, 0.017638734693877552, 0.017633571428571432, 0.017570448979591837, 0.01756734693877551, 0.01763869387755102",5,5
0.24,0.07,1512.0,192,22,193536,1.26,14,10,20,33,3024.0,0.0,"0.0178865306122449, 0.017786469387755105, 0.017781163265306123, 0.017784795918367347, 0.017220959183673473, 0.017223836734693878, 0.01777908163265306",4,4
0.24,0.07,1512.0,192,22,193536,1.26,14,10,58,20,9072.0,0.0,"0.017992469387755106, 0.017824775510204085, 0.01780026530612245, 0.017828387755102044, 0.017098714285714283, 0.017100632653061228, 0.017817591836734693",5,5
1.35,0.38,26435.35,192,60,193536,2.52,5,10,5,60,1024.0,0.0,"0.3529995918367348, 0.3534157142857143, 0.3534390612244898, 0.3533306734693878, 0.3529544693877551, 0.3530545306122449, 0.35336781632653064",0,0
1.35,0.38,26435.35,192,60,193536,2.52,5,10,20,33,3024.0,0.0,"0.2812041020408163, 0.2812744897959184, 0.2810683877551021, 0.28127055102040815, 0.5329242857142857, 0.5335327346938775, 0.281287306122449",1,1
1.35,0.38,26435.35,192,60,193536,2.52,5,10,58,20,9072.0,0.0,"0.12049985714285716, 0.12096038775510205, 0.12075420408163262, 0.12097295918367347, 0.9336189183673469, 0.9347213265306125, 0.12103420408163265",2,2
0.24,0.08,1512.0,192,22,193536,1.26,14,10,5,60,1024.0,0.0,"0.017765877551020406, 0.01764816326530612, 0.017638734693877552, 0.017633571428571432, 0.017570448979591837, 0.01756734693877551, 0.01763869387755102",5,5
0.24,0.08,1512.0,192,22,193536,1.26,14,10,20,33,3024.0,0.0,"0.0178865306122449, 0.017786469387755105, 0.017781163265306123, 0.017784795918367347, 0.017220959183673473, 0.017223836734693878, 0.01777908163265306",4,4
0.24,0.08,1512.0,192,22,193536,1.26,14,10,58,20,9072.0,0.0,"0.017992469387755106, 0.017824775510204085, 0.01780026530612245, 0.017828387755102044, 0.017098714285714283, 0.017100632653061228, 0.017817591836734693",5,5
1.06,0.34,4698.39,192,20,193536,1.26,14,10,5,60,1024.0,0.0,"0.008735510204081634, 0.009443367346938774, 0.00941204081632653, 0.009406326530612243, 0.075783693877551, 0.07640495918367347, 0.009438163265306124",0,0
1.06,0.34,4698.39,192,20,193536,1.26,14,10,20,33,3024.0,0.0,"0.028324734693877546, 0.028412081632653054, 0.028417102040816322, 0.02841769387755102, 0.028305367346938778, 0.028355959183673476, 0.02839112244897959",0,0
1.06,0.34,4698.39,192,20,193536,1.26,14,10,58,20,9072.0,0.0,"0.028548877551020403, 0.02836951020408163, 0.028384020408163263, 0.028389367346938775, 0.02826191836734693, 0.02827475510204082, 0.02839561224489796",4,4
1.35,0.37,26256.95,192,60,193536,2.52,5,10,5,60,1024.0,0.0,"0.3529995918367348, 0.3534157142857143, 0.3534390612244898, 0.3533306734693878, 0.3529544693877551, 0.3530545306122449, 0.35336781632653064",0,0
1.35,0.37,26256.95,192,60,193536,2.52,5,10,20,33,3024.0,0.0,"0.2812041020408163, 0.2812744897959184, 0.2810683877551021, 0.28127055102040815, 0.5329242857142857, 0.5335327346938775, 0.281287306122449",1,1
1.35,0.37,26256.95,192,60,193536,2.52,5,10,58,20,9072.0,0.0,"0.12049985714285716, 0.12096038775510205, 0.12075420408163262, 0.12097295918367347, 0.9336189183673469, 0.9347213265306125, 0.12103420408163265",2,2
0.24,0.07,1512.0,192,22,193536,1.26,14,10,5,60,1024.0,0.0,"0.017765877551020406, 0.01764816326530612, 0.017638734693877552, 0.017633571428571432, 0.017570448979591837, 0.01756734693877551, 0.01763869387755102",5,5
0.24,0.07,1512.0,192,22,193536,1.26,14,10,20,33,3024.0,0.0,"0.0178865306122449, 0.017786469387755105, 0.017781163265306123, 0.017784795918367347, 0.017220959183673473, 0.017223836734693878, 0.01777908163265306",4,4
0.24,0.07,1512.0,192,22,193536,1.26,14,10,58,20,9072.0,0.0,"0.017992469387755106, 0.017824775510204085, 0.01780026530612245, 0.017828387755102044, 0.017098714285714283, 0.017100632653061228, 0.017817591836734693",5,5
1.35,0.37,25821.65,192,60,193536,2.52,5,10,5,60,1024.0,0.0,"0.3529995918367348, 0.3534157142857143, 0.3534390612244898, 0.3533306734693878, 0.3529544693877551, 0.3530545306122449, 0.35336781632653064",0,0
1.35,0.37,25821.65,192,60,193536,2.52,5,10,20,33,3024.0,0.0,"0.2812041020408163, 0.2812744897959184, 0.2810683877551021, 0.28127055102040815, 0.5329242857142857, 0.5335327346938775, 0.281287306122449",1,1
1.35,0.37,25821.65,192,60,193536,2.52,5,10,58,20,9072.0,0.0,"0.12049985714285716, 0.12096038775510205, 0.12075420408163262, 0.12097295918367347, 0.9336189183673469, 0.9347213265306125, 0.12103420408163265",2,2
0.24,0.07,1512.0,192,22,193536,1.26,14,10,5,60,1024.0,0.0,"0.017765877551020406, 0.01764816326530612, 0.017638734693877552, 0.017633571428571432, 0.017570448979591837, 0.01756734693877551, 0.01763869387755102",5,5
0.24,0.07,1512.0,192,22,193536,1.26,14,10,20,33,3024.0,0.0,"0.0178865306122449, 0.017786469387755105, 0.017781163265306123, 0.017784795918367347, 0.017220959183673473, 0.017223836734693878, 0.01777908163265306",4,4
0.24,0.07,1512.0,192,22,193536,1.26,14,10,58,20,9072.0,0.0,"0.017992469387755106, 0.017824775510204085, 0.01780026530612245, 0.017828387755102044, 0.017098714285714283, 0.017100632653061228, 0.017817591836734693",5,5
1.32,0.37,25239.0,192,60,193536,2.52,5,10,5,60,1024.0,0.0,"0.3529995918367348, 0.3534157142857143, 0.3534390612244898, 0.3533306734693878, 0.3529544693877551, 0.3530545306122449, 0.35336781632653064",0,0
1.32,0.37,25239.0,192,60,193536,2.52,5,10,20,33,3024.0,0.0,"0.2812041020408163, 0.2812744897959184, 0.2810683877551021, 0.28127055102040815, 0.5329242857142857, 0.5335327346938775, 0.281287306122449",1,1
1.32,0.37,25239.0,192,60,193536,2.52,5,10,58,20,9072.0,0.0,"0.12049985714285716, 0.12096038775510205, 0.12075420408163262, 0.12097295918367347, 0.9336189183673469, 0.9347213265306125, 0.12103420408163265",2,2
0.23,0.07,1512.0,192,22,193536,1.26,14,10,5,60,1024.0,0.0,"0.017765877551020406, 0.01764816326530612, 0.017638734693877552, 0.017633571428571432, 0.017570448979591837, 0.01756734693877551, 0.01763869387755102",5,5
0.23,0.07,1512.0,192,22,193536,1.26,14,10,20,33,3024.0,0.0,"0.0178865306122449, 0.017786469387755105, 0.017781163265306123, 0.017784795918367347, 0.017220959183673473, 0.017223836734693878, 0.01777908163265306",4,4
0.23,0.07,1512.0,192,22,193536,1.26,14,10,58,20,9072.0,0.0,"0.017992469387755106, 0.017824775510204085, 0.01780026530612245, 0.017828387755102044, 0.017098714285714283, 0.017100632653061228, 0.017817591836734693",5,5
1.04,0.33,4476.1,192,20,193536,1.26,14,10,5,60,1024.0,0.0,"0.008735510204081634, 0.009443367346938774, 0.00941204081632653, 0.009406326530612243, 0.075783693877551, 0.07640495918367347, 0.009438163265306124",0,0
1.04,0.33,4476.1,192,20,193536,1.26,14,10,20,33,3024.0,0.0,"0.028324734693877546, 0.028412081632653054, 0.028417102040816322, 0.02841769387755102, 0.028305367346938778, 0.028355959183673476, 0.02839112244897959",0,0
1.04,0.33,4476.1,192,20,193536,1.26,14,10,58,20,9072.0,0.0,"0.028548877551020403, 0.02836951020408163, 0.028384020408163263, 0.028389367346938775, 0.02826191836734693, 0.02827475510204082, 0.02839561224489796",4,4
1.29,0.36,25195.46,192,60,193536,2.52,5,10,5,60,1024.0,0.0,"0.3529995918367348, 0.3534157142857143, 0.3534390612244898, 0.3533306734693878, 0.3529544693877551, 0.3530545306122449, 0.35336781632653064",0,0
1.29,0.36,25195.46,192,60,193536,2.52,5,10,20,33,3024.0,0.0,"0.2812041020408163, 0.2812744897959184, 0.2810683877551021, 0.28127055102040815, 0.5329242857142857, 0.5335327346938775, 0.281287306122449",1,1
1.29,0.36,25195.46,192,60,193536,2.52,5,10,58,20,9072.0,0.0,"0.12049985714285716, 0.12096038775510205, 0.12075420408163262, 0.12097295918367347, 0.9336189183673469, 0.9347213265306125, 0.12103420408163265",2,2
0.24,0.07,1512.0,192,22,193536,1.26,14,10,5,60,1024.0,0.0,"0.017765877551020406, 0.01764816326530612, 0.017638734693877552, 0.017633571428571432, 0.017570448979591837, 0.01756734693877551, 0.01763869387755102",5,5
0.24,0.07,1512.0,192,22,193536,1.26,14,10,20,33,3024.0,0.0,"0.0178865306122449, 0.017786469387755105, 0.017781163265306123, 0.017784795918367347, 0.017220959183673473, 0.017223836734693878, 0.01777908163265306",4,4
0.24,0.07,1512.0,192,22,193536,1.26,14,10,58,20,9072.0,0.0,"0.017992469387755106, 0.017824775510204085, 0.01780026530612245, 0.017828387755102044, 0.017098714285714283, 0.017100632653061228, 0.017817591836734693",5,5
1.29,0.36,24645.78,192,60,193536,2.52,5,10,5,60,1024.0,0.0,"0.3529995918367348, 0.3534157142857143, 0.3534390612244898, 0.3533306734693878, 0.3529544693877551, 0.3530545306122449, 0.35336781632653064",0,0
1.29,0.36,24645.78,192,60,193536,2.52,5,10,20,33,3024.0,0.0,"0.2812041020408163, 0.2812744897959184, 0.2810683877551021, 0.28127055102040815, 0.5329242857142857, 0.5335327346938775, 0.281287306122449",1,1
1.29,0.36,24645.78,192,60,193536,2.52,5,10,58,20,9072.0,0.0,"0.12049985714285716, 0.12096038775510205, 0.12075420408163262, 0.12097295918367347, 0.9336189183673469, 0.9347213265306125, 0.12103420408163265",2,2
0.24,0.07,1512.0,192,22,193536,1.26,14,10,5,60,1024.0,0.0,"0.017765877551020406, 0.01764816326530612, 0.017638734693877552, 0.017633571428571432, 0.017570448979591837, 0.01756734693877551, 0.01763869387755102",5,5
0.24,0.07,1512.0,192,22,193536,1.26,14,10,20,33,3024.0,0.0,"0.0178865306122449, 0.017786469387755105, 0.017781163265306123, 0.017784795918367347, 0.017220959183673473, 0.017223836734693878, 0.01777908163265306",4,4
0.24,0.07,1512.0,192,22,193536,1.26,14,10,58,20,9072.0,0.0,"0.017992469387755106, 0.017824775510204085, 0.01780026530612245, 0.017828387755102044, 0.017098714285714283, 0.017100632653061228, 0.017817591836734693",5,5
1.28,0.36,24347.74,192,60,193536,2.52,5,10,5,60,1024.0,0.0,"0.3529995918367348, 0.3534157142857143, 0.3534390612244898, 0.3533306734693878, 0.3529544693877551, 0.3530545306122449, 0.35336781632653064",0,0
1.28,0.36,24347.74,192,60,193536,2.52,5,10,20,33,3024.0,0.0,"0.2812041020408163, 0.2812744897959184, 0.2810683877551021, 0.28127055102040815, 0.5329242857142857, 0.5335327346938775, 0.281287306122449",1,1
1.28,0.36,24347.74,192,60,193536,2.52,5,10,58,20,9072.0,0.0,"0.12049985714285716, 0.12096038775510205, 0.12075420408163262, 0.12097295918367347, 0.9336189183673469, 0.9347213265306125, 0.12103420408163265",2,2
0.24,0.07,1512.0,192,22,193536,1.26,14,10,5,60,1024.0,0.0,"0.017765877551020406, 0.01764816326530612, 0.017638734693877552, 0.017633571428571432, 0.017570448979591837, 0.01756734693877551, 0.01763869387755102",5,5
0.24,0.07,1512.0,192,22,193536,1.26,14,10,20,33,3024.0,0.0,"0.0178865306122449, 0.017786469387755105, 0.017781163265306123, 0.017784795918367347, 0.017220959183673473, 0.017223836734693878, 0.01777908163265306",4,4
0.24,0.07,1512.0,192,22,193536,1.26,14,10,58,20,9072.0,0.0,"0.017992469387755106, 0.017824775510204085, 0.01780026530612245, 0.017828387755102044, 0.017098714285714283, 0.017100632653061228, 0.017817591836734693",5,5
1.02,0.32,4306.19,192,20,193536,1.26,14,10,5,60,1024.0,0.0,"0.008735510204081634, 0.009443367346938774, 0.00941204081632653, 0.009406326530612243, 0.075783693877551, 0.07640495918367347, 0.009438163265306124",0,0
1.02,0.32,4306.19,192,20,193536,1.26,14,10,20,33,3024.0,0.0,"0.028324734693877546, 0.028412081632653054, 0.028417102040816322, 0.02841769387755102, 0.028305367346938778, 0.028355959183673476, 0.02839112244897959",0,0
1.02,0.32,4306.19,192,20,193536,1.26,14,10,58,20,9072.0,0.0,"0.028548877551020403, 0.02836951020408163, 0.028384020408163263, 0.028389367346938775, 0.02826191836734693, 0.02827475510204082, 0.02839561224489796",4,4
1.28,0.36,24364.95,192,60,193536,2.52,5,10,5,60,1024.0,0.0,"0.3529995918367348, 0.3534157142857143, 0.3534390612244898, 0.3533306734693878, 0.3529544693877551, 0.3530545306122449, 0.35336781632653064",0,0
1.28,0.36,24364.95,192,60,193536,2.52,5,10,20,33,3024.0,0.0,"0.2812041020408163, 0.2812744897959184, 0.2810683877551021, 0.28127055102040815, 0.5329242857142857, 0.5335327346938775, 0.281287306122449",1,1
1.28,0.36,24364.95,192,60,193536,2.52,5,10,58,20,9072.0,0.0,"0.12049985714285716, 0.12096038775510205, 0.12075420408163262, 0.12097295918367347, 0.9336189183673469, 0.9347213265306125, 0.12103420408163265",2,2
0.24,0.07,1512.0,192,22,193536,1.26,14,10,5,60,1024.0,0.0,"0.017765877551020406, 0.01764816326530612, 0.017638734693877552, 0.017633571428571432, 0.017570448979591837, 0.01756734693877551, 0.01763869387755102",5,5
0.24,0.07,1512.0,192,22,193536,1.26,14,10,20,33,3024.0,0.0,"0.0178865306122449, 0.017786469387755105, 0.017781163265306123, 0.017784795918367347, 0.017220959183673473, 0.017223836734693878, 0.01777908163265306",4,4
0.24,0.07,1512.0,192,22,193536,1.26,14,10,58,20,9072.0,0.0,"0.017992469387755106, 0.017824775510204085, 0.01780026530612245, 0.017828387755102044, 0.017098714285714283, 0.017100632653061228, 0.017817591836734693",5,5
0.98,0.32,4222.43,192,20,193536,1.26,14,10,5,60,1024.0,0.0,"0.008735510204081634, 0.009443367346938774, 0.00941204081632653, 0.009406326530612243, 0.075783693877551, 0.07640495918367347, 0.009438163265306124",0,0
0.98,0.32,4222.43,192,20,193536,1.26,14,10,20,33,3024.0,0.0,"0.028324734693877546, 0.028412081632653054, 0.028417102040816322, 0.02841769387755102, 0.028305367346938778, 0.028355959183673476, 0.02839112244897959",0,0
0.98,0.32,4222.43,192,20,193536,1.26,14,10,58,20,9072.0,0.0,"0.028548877551020403, 0.02836951020408163, 0.028384020408163263, 0.028389367346938775, 0.02826191836734693, 0.02827475510204082, 0.02839561224489796",4,4
0.99,0.31,4099.29,192,20,193536,1.26,14,10,5,60,1024.0,0.0,"0.008735510204081634, 0.009443367346938774, 0.00941204081632653, 0.009406326530612243, 0.075783693877551, 0.07640495918367347, 0.009438163265306124",0,0
0.99,0.31,4099.29,192,20,193536,1.26,14,10,20,33,3024.0,0.0,"0.028324734693877546, 0.028412081632653054, 0.028417102040816322, 0.02841769387755102, 0.028305367346938778, 0.028355959183673476, 0.02839112244897959",0,0
0.99,0.31,4099.29,192,20,193536,1.26,14,10,58,20,9072.0,0.0,"0.028548877551020403, 0.02836951020408163, 0.028384020408163263, 0.028389367346938775, 0.02826191836734693, 0.02827475510204082, 0.02839561224489796",4,4
0.98,0.29,4030.62,192,20,193536,1.26,14,10,5,60,1024.0,0.0,"0.008735510204081634, 0.009443367346938774, 0.00941204081632653, 0.009406326530612243, 0.075783693877551, 0.07640495918367347, 0.009438163265306124",0,0
0.98,0.29,4030.62,192,20,193536,1.26,14,10,20,33,3024.0,0.0,"0.028324734693877546, 0.028412081632653054, 0.028417102040816322, 0.02841769387755102, 0.028305367346938778, 0.028355959183673476, 0.02839112244897959",0,0
0.98,0.29,4030.62,192,20,193536,1.26,14,10,58,20,9072.0,0.0,"0.028548877551020403, 0.02836951020408163, 0.028384020408163263, 0.028389367346938775, 0.02826191836734693, 0.02827475510204082, 0.02839561224489796",4,4
0.94,0.3,3945.76,192,20,193536,1.26,14,10,5,60,1024.0,0.0,"0.008735510204081634, 0.009443367346938774, 0.00941204081632653, 0.009406326530612243, 0.075783693877551, 0.07640495918367347, 0.009438163265306124",0,0
0.94,0.3,3945.76,192,20,193536,1.26,14,10,20,33,3024.0,0.0,"0.028324734693877546, 0.028412081632653054, 0.028417102040816322, 0.02841769387755102, 0.028305367346938778, 0.028355959183673476, 0.02839112244897959",0,0
0.94,0.3,3945.76,192,20,193536,1.26,14,10,58,20,9072.0,0.0,"0.028548877551020403, 0.02836951020408163, 0.028384020408163263, 0.028389367346938775, 0.02826191836734693, 0.02827475510204082, 0.02839561224489796",4,4
0.91,0.29,3907.41,192,20,193536,1.26,14,10,5,60,1024.0,0.0,"0.008735510204081634, 0.009443367346938774, 0.00941204081632653, 0.009406326530612243, 0.075783693877551, 0.07640495918367347, 0.009438163265306124",0,0
0.91,0.29,3907.41,192,20,193536,1.26,14,10,20,33,3024.0,0.0,"0.028324734693877546, 0.028412081632653054, 0.028417102040816322, 0.02841769387755102, 0.028305367346938778, 0.028355959183673476, 0.02839112244897959",0,0
0.91,0.29,3907.41,192,20,193536,1.26,14,10,58,20,9072.0,0.0,"0.028548877551020403, 0.02836951020408163, 0.028384020408163263, 0.028389367346938775, 0.02826191836734693, 0.02827475510204082, 0.02839561224489796",4,4
0.89,0.29,3838.12,192,20,193536,1.26,14,10,5,60,1024.0,0.0,"0.008735510204081634, 0.009443367346938774, 0.00941204081632653, 0.009406326530612243, 0.075783693877551, 0.07640495918367347, 0.009438163265306124",0,0
0.89,0.29,3838.12,192,20,193536,1.26,14,10,20,33,3024.0,0.0,"0.028324734693877546, 0.028412081632653054, 0.028417102040816322, 0.02841769387755102, 0.028305367346938778, 0.028355959183673476, 0.02839112244897959",0,0
0.89,0.29,3838.12,192,20,193536,1.26,14,10,58,20,9072.0,0.0,"0.028548877551020403, 0.02836951020408163, 0.028384020408163263, 0.028389367346938775, 0.02826191836734693, 0.02827475510204082, 0.02839561224489796",4,4
1.21,0.35,5431.27,192,20,232704,1.52,14,10,5,52,1024.0,0.0,"0.012165999999999996, 0.012720346938775507, 0.012707489795918379, 0.012743795918367348, 0.09084330612244901, 0.091581, 0.012765918367346937",0,0
1.21,0.35,5431.27,192,20,232704,1.52,14,10,20,26,3636.0,0.0,"0.035092428571428566, 0.035070081632653065, 0.03519297959183673, 0.0350789387755102, 0.03499975510204082, 0.03500936734693877, 0.03508430612244898",0,0
1.21,0.35,5431.27,192,20,232704,1.52,14,10,65,34,10908.0,0.0,"0.0352405918367347, 0.03508851020408164, 0.03507961224489796, 0.03508300000000001, 0.034980285714285714, 0.03496834693877551, 0.03508751020408163",5,5
1.38,0.4,30709.34,192,60,232704,3.03,5,10,5,52,1024.0,0.0,"0.4273420816326531, 0.4274373265306122, 0.42721824489795923, 0.4273668571428572, 0.4271635918367347, 0.42718148979591847, 0.4272455510204082",2,2
1.38,0.4,30709.34,192,60,232704,3.03,5,10,20,26,3636.0,0.0,"0.3414876122448979, 0.34158987755102044, 0.34228110204081635, 0.34153216326530605, 0.6409338979591837, 0.6415712244897961, 0.34155926530612246",1,1
1.38,0.4,30709.34,192,60,232704,3.03,5,10,65,34,10908.0,0.0,"0.1483788367346939, 0.14898661224489798, 0.14897391836734697, 0.14903057142857143, 1.1227882857142857, 1.1236609387755103, 0.14913597959183672",6,6
0.25,0.08,1818.0,192,22,232704,1.52,14,10,5,52,1024.0,0.0,"0.020438897959183674, 0.020653408163265302, 0.020648795918367345, 0.020647653061224486, 0.020601244897959177, 0.02059783673469388, 0.0206495306122449",0,0
0.25,0.08,1818.0,192,22,232704,1.52,14,10,20,26,3636.0,0.0,"0.02054177551020408, 0.02052855102040816, 0.020570142857142853, 0.020541877551020406, 0.020754469387755103, 0.02075442857142857, 0.020546122448979586",6,6
0.25,0.08,1818.0,192,22,232704,1.52,14,10,65,34,10908.0,0.0,"0.02078042857142857, 0.020548510204081626, 0.020560510204081638, 0.02055502040816326, 0.020616857142857138, 0.02061889795918367, 0.020557142857142854",6,6
1.45,0.42,33457.34,192,60,232704,3.03,5,10,5,52,1024.0,0.0,"0.4273420816326531, 0.4274373265306122, 0.42721824489795923, 0.4273668571428572, 0.4271635918367347, 0.42718148979591847, 0.4272455510204082",2,2
1.45,0.42,33457.34,192,60,232704,3.03,5,10,20,26,3636.0,0.0,"0.3414876122448979, 0.34158987755102044, 0.34228110204081635, 0.34153216326530605, 0.6409338979591837, 0.6415712244897961, 0.34155926530612246",1,1
1.45,0.42,33457.34,192,60,232704,3.03,5,10,65,34,10908.0,0.0,"0.1483788367346939, 0.14898661224489798, 0.14897391836734697, 0.14903057142857143, 1.1227882857142857, 1.1236609387755103, 0.14913597959183672",6,6
0.25,0.07,1818.0,192,22,232704,1.52,14,10,5,52,1024.0,0.0,"0.020438897959183674, 0.020653408163265302, 0.020648795918367345, 0.020647653061224486, 0.020601244897959177, 0.02059783673469388, 0.0206495306122449",0,0
0.25,0.07,1818.0,192,22,232704,1.52,14,10,20,26,3636.0,0.0,"0.02054177551020408, 0.02052855102040816, 0.020570142857142853, 0.020541877551020406, 0.020754469387755103, 0.02075442857142857, 0.020546122448979586",6,6
0.25,0.07,1818.0,192,22,232704,1.52,14,10,65,34,10908.0,0.0,"0.02078042857142857, 0.020548510204081626, 0.020560510204081638, 0.02055502040816326, 0.020616857142857138, 0.02061889795918367, 0.020557142857142854",6,6
1.37,0.4,31568.09,192,60,232704,3.03,5,10,5,52,1024.0,0.0,"0.4273420816326531, 0.4274373265306122, 0.42721824489795923, 0.4273668571428572, 0.4271635918367347, 0.42718148979591847, 0.4272455510204082",2,2
1.37,0.4,31568.09,192,60,232704,3.03,5,10,20,26,3636.0,0.0,"0.3414876122448979, 0.34158987755102044, 0.34228110204081635, 0.34153216326530605, 0.6409338979591837, 0.6415712244897961, 0.34155926530612246",1,1
1.37,0.4,31568.09,192,60,232704,3.03,5,10,65,34,10908.0,0.0,"0.1483788367346939, 0.14898661224489798, 0.14897391836734697, 0.14903057142857143, 1.1227882857142857, 1.1236609387755103, 0.14913597959183672",6,6
0.26,0.07,1818.0,192,22,232704,1.52,14,10,5,52,1024.0,0.0,"0.020438897959183674, 0.020653408163265302, 0.020648795918367345, 0.020647653061224486, 0.020601244897959177, 0.02059783673469388, 0.0206495306122449",0,0
0.26,0.07,1818.0,192,22,232704,1.52,14,10,20,26,3636.0,0.0,"0.02054177551020408, 0.02052855102040816, 0.020570142857142853, 0.020541877551020406, 0.020754469387755103, 0.02075442857142857, 0.020546122448979586",6,6
0.26,0.07,1818.0,192,22,232704,1.52,14,10,65,34,10908.0,0.0,"0.02078042857142857, 0.020548510204081626, 0.020560510204081638, 0.02055502040816326, 0.020616857142857138, 0.02061889795918367, 0.020557142857142854",6,6
1.24,0.36,5622.97,192,20,232704,1.52,14,10,5,52,1024.0,0.0,"0.012165999999999996, 0.012720346938775507, 0.012707489795918379, 0.012743795918367348, 0.09084330612244901, 0.091581, 0.012765918367346937",0,0
1.24,0.36,5622.97,192,20,232704,1.52,14,10,20,26,3636.0,0.0,"0.035092428571428566, 0.035070081632653065, 0.03519297959183673, 0.0350789387755102, 0.03499975510204082, 0.03500936734693877, 0.03508430612244898",0,0
1.24,0.36,5622.97,192,20,232704,1.52,14,10,65,34,10908.0,0.0,"0.0352405918367347, 0.03508851020408164, 0.03507961224489796, 0.03508300000000001, 0.034980285714285714, 0.03496834693877551, 0.03508751020408163",5,5
1.39,0.4,31491.95,192,60,232704,3.03,5,10,5,52,1024.0,0.0,"0.4273420816326531, 0.4274373265306122, 0.42721824489795923, 0.4273668571428572, 0.4271635918367347, 0.42718148979591847, 0.4272455510204082",2,2
1.39,0.4,31491.95,192,60,232704,3.03,5,10,20,26,3636.0,0.0,"0.3414876122448979, 0.34158987755102044, 0.34228110204081635, 0.34153216326530605, 0.6409338979591837, 0.6415712244897961, 0.34155926530612246",1,1
1.39,0.4,31491.95,192,60,232704,3.03,5,10,65,34,10908.0,0.0,"0.1483788367346939, 0.14898661224489798, 0.14897391836734697, 0.14903057142857143, 1.1227882857142857, 1.1236609387755103, 0.14913597959183672",6,6
0.26,0.08,1818.0,192,22,232704,1.52,14,10,5,52,1024.0,0.0,"0.020438897959183674, 0.020653408163265302, 0.020648795918367345, 0.020647653061224486, 0.020601244897959177, 0.02059783673469388, 0.0206495306122449",0,0
0.26,0.08,1818.0,192,22,232704,1.52,14,10,20,26,3636.0,0.0,"0.02054177551020408, 0.02052855102040816, 0.020570142857142853, 0.020541877551020406, 0.020754469387755103, 0.02075442857142857, 0.020546122448979586",6,6
0.26,0.08,1818.0,192,22,232704,1.52,14,10,65,34,10908.0,0.0,"0.02078042857142857, 0.020548510204081626, 0.020560510204081638, 0.02055502040816326, 0.020616857142857138, 0.02061889795918367, 0.020557142857142854",6,6
1.39,0.4,31143.16,192,60,232704,3.03,5,10,5,52,1024.0,0.0,"0.4273420816326531, 0.4274373265306122, 0.42721824489795923, 0.4273668571428572, 0.4271635918367347, 0.42718148979591847, 0.4272455510204082",2,2
1.39,0.4,31143.16,192,60,232704,3.03,5,10,20,26,3636.0,0.0,"0.3414876122448979, 0.34158987755102044, 0.34228110204081635, 0.34153216326530605, 0.6409338979591837, 0.6415712244897961, 0.34155926530612246",1,1
1.39,0.4,31143.16,192,60,232704,3.03,5,10,65,34,10908.0,0.0,"0.1483788367346939, 0.14898661224489798, 0.14897391836734697, 0.14903057142857143, 1.1227882857142857, 1.1236609387755103, 0.14913597959183672",6,6
